ticker,date,open,close,high,low,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
COF,2017-01-03,88.55,88.87,89.6,87.79,3441067,,,,,,,
COF,2017-01-04,89.13,90.3,90.77,89.13,2630905,,,,,,,
COF,2017-01-05,89.84,88.38,89.9299,87.6,2223944,,,,,,,
COF,2017-01-06,88.77,88.6,89.18,88.0901,1796424,,,,,,,
COF,2017-01-09,88.22,87.44,88.4,87.4,2122775,,,,,,,
COF,2017-01-10,87.81,88.98,89.37,87.44,3141198,,,,,,,
COF,2017-01-11,88.99,89.14,89.25,88.01,1885055,,,,,,,
COF,2017-01-12,88.72,87.89,88.85,86.78,2064889,,,,,,,
COF,2017-01-13,88.42,88.85,89.74,88.42,2327814,,,,,,,
COF,2017-01-17,88.2,86.37,88.2,86.05,2192345,,,,,,,
COF,2017-01-18,86.94,87.28,87.32,85.77,1706358,,,,,,,
COF,2017-01-19,87.37,86.72,87.59,86.34,1696719,,,,,,,
COF,2017-01-20,86.72,87.34,88,86.69,1684548,,,,,,,
COF,2017-01-23,87.05,86.87,87.78,86.51,2821009,,,,,,,
COF,2017-01-24,87.52,88.73,89.14,86.99,2711779,,,,,,,
COF,2017-01-25,87.83,88.38,88.83,87.12,5304078,,,,,,,
COF,2017-01-26,88.5,89.71,89.72,87.82,3004744,,,,,,,
COF,2017-01-27,89.96,89.15,90,88.93,2195161,,,,,,,
COF,2017-01-30,89.15,88.81,89.15,87.38,3550371,,,,,,,
COF,2017-01-31,88.28,87.39,88.66,86.68,2880402,,,,,,,
COF,2017-02-01,88.1,87.51,88.95,87.23,2262668,,,,,,,
COF,2017-02-02,86.74,86.34,87,85.84,2147656,,,,,,,
COF,2017-02-03,87.94,87.92,88.08,86.66,2891218,,,,,,,
COF,2017-02-06,87.35,87.62,88.4,87.18,1430592,,,,,,,
COF,2017-02-07,88.1,88.11,88.42,87.2,3514042,,,,,,,
COF,2017-02-08,87.6,87.54,87.91,87.05,2052559,,,,,,,
COF,2017-02-09,87.56,88.54,88.7,87.11,1809247,,,,,,,
COF,2017-02-10,88.89,88.4,88.89,88.09,1617333,,,,,,,
COF,2017-02-13,88.77,89.03,89.58,88.71,1791275,,,,,,,
COF,2017-02-14,89.01,90.18,90.505,88.7,2148217,,,,,,,
COF,2017-02-15,90.49,90.93,91.36,89.605,2297708,,,,,,,
COF,2017-02-16,90.98,90.51,91.25,89.82,1801044,,,,,,,
COF,2017-02-17,90.34,91.81,92.04,90.08,4044661,,,,,,,
COF,2017-02-21,91.7,92.85,93.57,91.61,3825225,,,,,,,
COF,2017-02-22,92.42,92.89,93.239,92.09,1821376,,,,,,,
COF,2017-02-23,93.25,93.41,93.52,92.89,2142975,,,,,,,
COF,2017-02-24,92.53,92.61,92.8,91.77,2252140,,,,,,,
COF,2017-02-27,92.39,93.66,93.72,92.06,1730363,,,,,,,
COF,2017-02-28,93.04,93.86,93.9301,92.99,3122357,,,,,,,
COF,2017-03-01,95,96.12,96.92,94.81,3387946,,,,,,,
COF,2017-03-02,96.21,94.33,96.325,94.28,1625881,,,,,,,
COF,2017-03-03,94.19,93.94,94.64,93.33,2541665,,,,,,,
COF,2017-03-06,93.5,93,93.68,92.85,1936761,,,,,,,
COF,2017-03-07,93.07,92.82,93.34,92.485,1641333,,,,,,,
COF,2017-03-08,94.02,92.4,94.43,92.28,2028560,,,,,,,
COF,2017-03-09,92.77,92.11,93.35,91.85,1653535,,,,,,,
COF,2017-03-10,92.82,92.19,93,91.57,1644275,,,,,,,
COF,2017-03-13,92.2,91.79,92.41,91.65,1830233,,,,,,,
COF,2017-03-14,91.36,91.75,91.78,90.78,1730819,,,,,,,
COF,2017-03-15,91.01,89.92,91.96,89.13,3178963,,,,,,,
COF,2017-03-16,90.38,90.21,91.09,89.96,1781858,,,,,,,
COF,2017-03-17,90.43,88.23,90.7,88.01,3388267,,,,,,,
COF,2017-03-20,88.11,86.78,88.23,86.58,2801965,,,,,,,
COF,2017-03-21,87.1,83.65,87.1,83.34,4559025,,,,,,,
COF,2017-03-22,83.08,83.68,84.44,82.15,3133651,,,,,,,
COF,2017-03-23,83.6,83.78,85.06,83.23,2671234,,,,,,,
COF,2017-03-24,83.99,83.8,84.5214,83.18,1966056,,,,,,,
